text,label
The seating was as I expected for economy class.,neutral
It’s a passable product.,neutral
The PNR lookup process was okay but could be faster.,neutral
"It was a regular flight. Nothing stood out.It’s fine, I guess.",neutral
"Boarding took longer than expected, but it was manageable.",neutral
The staff was neither friendly nor rude.,neutral
"The cabin temperature was fine, not too cold or hot.",neutral
"The crew was neither great nor bad, just okay.",neutral
It’s just okay.,neutral
Neither good nor bad.,neutral
"The luggage arrived as expected, no issues.",neutral
It’s as expected.,neutral
"Boarding took longer than expected, but it was manageable.",neutral
Meets the basic requirements.,neutral
Gets the job done.,neutral
Check-in staff was polite but not particularly engaging.,neutral
I feel indifferent about this.,neutral
It’s acceptable.,neutral
I had no issues finding my gate for <MASKED_FLIGHT_NUM>.,neutral
Neither good nor bad.,neutral
I received the flight status updates as expected.,neutral
Nothing to write home about.,neutral
The quality is what I expected.,neutral
"The flight landed on time, but the takeoff was delayed.",neutral
"The luggage arrived as expected, no issues.",neutral
It does what it’s supposed to do.,neutral
"The flight was fine, nothing special.",neutral
The updates about flight <MASKED_FLIGHT_NUM> were sufficient.,neutral
It’s adequate for now.,neutral
"The overall experience was decent, no major complaints.",neutral
"My experience was average, nothing stood out.",neutral
"The flight was fine, nothing special.",neutral
I feel indifferent about this.,neutral
I feel indifferent about this.,neutral
Nothing to write home about.,neutral
Neither good nor bad.,neutral
"I got the information I needed, nothing more, nothing less.",neutral
"The food was acceptable, not the best I’ve had.",neutral
Meets the basic requirements.,neutral
"The flight was fine, nothing special.",neutral
I got my luggage without any hassle. Just a typical day.,neutral
Does what it says on the tin.,neutral
I have no strong opinions about this.,neutral
"No major complaints, but no praises either.",neutral
Meets the basic requirements.,neutral
Neither good nor bad.,neutral
It’s as expected.,neutral
The service was okay but could be better.,neutral
Gets the job done.,neutral
It’s as expected.,neutral
Check-in staff was polite but not particularly engaging.,neutral
I had no issues finding my gate for <MASKED_FLIGHT_NUM>.,neutral
I received the flight status updates as expected.,neutral
"Not bad, not great.",neutral
I feel indifferent about this.,neutral
Nothing remarkable here.,neutral
The quality is what I expected.,neutral
"The cabin temperature was fine, not too cold or hot.",neutral
The staff was neither friendly nor rude.,neutral
Nothing remarkable here.,neutral
"My experience was average, nothing stood out.",neutral
"I got the information I needed, nothing more, nothing less.",neutral
I reached my destination without any issues.,neutral
"The flight landed on time, but the takeoff was delayed.",neutral
I received the flight status updates as expected.,neutral
"The flight was average, nothing special.",neutral
It’s as expected.,neutral
Check-in staff was polite but not particularly engaging.,neutral
Serves its purpose.,neutral
"Not bad, not great.",neutral
"Not bad, not great.",neutral
"The luggage arrived as expected, no issues.",neutral
Gets the job done.,neutral
It’s a passable product.,neutral
The quality is what I expected.,neutral
"The flight was on time, but the announcements were unclear.",neutral
I had no issues finding my gate for <MASKED_FLIGHT_NUM>.,neutral
The quality is what I expected.,neutral
It’s acceptable.,neutral
"The cabin temperature was fine, not too cold or hot.",neutral
The seating was as I expected for economy class.,neutral
The service was okay but could be better.,neutral
The seating was as I expected for economy class.,neutral
I got my luggage without any hassle. Just a typical day.,neutral
I got my luggage without any hassle. Just a typical day.,neutral
This is pretty standard.,neutral
It’s adequate for now.,neutral
Nothing to write home about.,neutral
The seating was as I expected for economy class.,neutral
I received the flight status updates as expected.,neutral
It’s a passable product.,neutral
Nothing to write home about.,neutral
"Boarding took longer than expected, but it was manageable.",neutral
Serves its purpose.,neutral
"The overall experience was decent, no major complaints.",neutral
"Doesn’t stand out, but works fine.",neutral
It’s adequate for now.,neutral
"Doesn’t stand out, but works fine.",neutral
The updates about flight <MASKED_FLIGHT_NUM> were sufficient.,neutral
This is pretty standard.,neutral
It does what it’s supposed to do.,neutral
Nothing remarkable here.,neutral
"It was a regular flight. Nothing stood out.It’s fine, I guess.",neutral
This is pretty standard.,neutral
Rebooking for flight <MASKED_FLIGHT_NUM> was a nightmare.,negative
The boarding process was chaotic and disorganized.,negative
Nothing but problems with this.,negative
Completely unreliable.,negative
Absolutely frustrating to deal with.,negative
The flight was cancelled without prior notice.,negative
I wouldn’t recommend this to anyone.,negative
It took forever to find updates for my PNR <MASKED_PNR>.,negative
"Horrible quality, avoid this.",negative
"The airline lost my luggage, and I still haven’t heard back.",negative
Completely unreliable.,negative
The quality is far below expectations.,negative
The boarding process was chaotic and poorly managed.,negative
I can’t believe how poor the in-flight service was.,negative
It took forever to find updates for my PNR <MASKED_PNR>.,negative
Worst experience ever!,negative
Worst experience ever!,negative
"My luggage got misplaced, and I’m still waiting for an update.",negative
This is a nightmare to use.,negative
"My luggage didn’t arrive, and I’m frustrated.",negative
This is not worth the price.,negative
I regret buying this.,negative
This was an awful experience.,negative
I’m very disappointed with how my complaints were handled.,negative
Absolutely frustrating to deal with.,negative
I regret choosing this airline for my trip.,negative
This didn’t work as promised.,negative
Completely unreliable.,negative
"The airline lost my luggage, and I still haven’t heard back.",negative
The app kept crashing while I tried to check my PNR.,negative
I regret buying this.,negative
The food options were terrible on flight <MASKED_FLIGHT_NUM>.,negative
This broke after a week of use.,negative
I’m extremely disappointed with how my complaint was handled.,negative
Do not recommend to anyone.,negative
Absolutely frustrating to deal with.,negative
"Horrible quality, avoid this.",negative
I didn’t get my preferred meal option even after requesting.,negative
It’s unacceptable how long it took to get updates on my gate.,negative
The boarding process was chaotic and poorly managed.,negative
Rebooking for flight <MASKED_FLIGHT_NUM> was a nightmare.,negative
This broke after a week of use.,negative
Don’t bother with this.,negative
The delay for flight <MASKED_FLIGHT_NUM> ruined my travel plans.,negative
It took forever to find updates for my PNR <MASKED_PNR>.,negative
"My luggage didn’t arrive, and I’m frustrated.",negative
I had a bad experience with the customer support team.I’m very unhappy with the delayed flight <MASKED_FLIGHT_NUM>.,negative
I can’t believe I bought this.,negative
This is a terrible product.,negative
My flight was delayed by several hours. Terrible experience!,negative
The boarding process was chaotic and poorly managed.,negative
Extremely dissatisfied.,negative
I’m very disappointed with how my complaints were handled.,negative
The quality is far below expectations.,negative
I regret buying this.,negative
This failed me when I needed it most.,negative
This was a waste of money.,negative
It’s unacceptable how long it took to get updates on my gate.,negative
It took forever to find updates for my PNR <MASKED_PNR>.,negative
This is a nightmare to use.,negative
The food options were terrible on flight <MASKED_FLIGHT_NUM>.,negative
"My luggage got misplaced, and I’m still waiting for an update.",negative
Extremely dissatisfied.,negative
It’s unacceptable how long it took to get updates on my gate.,negative
It took forever to find updates for my PNR <MASKED_PNR>.,negative
It took forever to find updates for my PNR <MASKED_PNR>.,negative
"The airline lost my luggage, and I still haven’t heard back.",negative
This is a terrible product.,negative
The staff was rude and unhelpful during the flight.,negative
I waited too long to get information about my flight.,negative
Rebooking for flight <MASKED_FLIGHT_NUM> was a nightmare.,negative
I’m very disappointed with how my complaints were handled.,negative
Don’t bother with this.,negative
Do not recommend to anyone.,negative
"My luggage didn’t arrive, and I’m frustrated.",negative
I’m upset about the lack of clear communication about cancellations.,negative
"My luggage didn’t arrive, and I’m frustrated.",negative
This didn’t work as promised.,negative
It’s unacceptable how long it took to get updates on my gate.,negative
I’m upset about the lack of clear communication about cancellations.,negative
The flight was cancelled without prior notice.,negative
The app kept crashing while I tried to check my PNR.,negative
Worst experience ever!,negative
It’s unacceptable how long it took to get updates on my gate.,negative
The boarding process was chaotic and poorly managed.,negative
It took forever to find updates for my PNR <MASKED_PNR>.,negative
The crew was dismissive and unhelpful during the flight.,negative
My flight was delayed by several hours. Terrible experience!,negative
I missed my connecting flight because of the delay.,negative
This was an awful experience.,negative
I’m extremely disappointed with how my complaint was handled.,negative
I can’t believe how poor the in-flight service was.,negative
"My luggage got misplaced, and I’m still waiting for an update.",negative
I regret choosing this airline for my trip.,negative
Don’t bother with this.,negative
The in-flight entertainment system was broken the whole time.,negative
Rebooking for flight <MASKED_FLIGHT_NUM> was a nightmare.,negative
This didn’t work as promised.,negative
This is a nightmare to use.,negative
Completely unreliable.,negative
The seats were cramped and uncomfortable for the entire journey.,negative
This was a waste of money.,negative
I regret choosing this airline for my trip.,negative
Such a waste of time.,negative
The crew was dismissive and unhelpful during the flight.,negative
I’m extremely disappointed with how my complaint was handled.,negative
I wouldn’t recommend this to anyone.,negative
This is a nightmare to use.,negative
"The airline lost my luggage, and I still haven’t heard back.",negative
The delay for flight <MASKED_FLIGHT_NUM> ruined my travel plans.,negative
This is not worth the price.,negative
It’s unacceptable how long it took to get updates on my gate.,negative
The staff was rude and unhelpful during the flight.,negative
The app kept crashing while I tried to check my PNR.,negative
This was a waste of money.,negative
A complete disaster!,negative
The in-flight entertainment system was broken the whole time.,negative
I can’t believe how poor the in-flight service was.,negative
I had a bad experience with the customer support team.I’m very unhappy with the delayed flight <MASKED_FLIGHT_NUM>.,negative
The food options were terrible on flight <MASKED_FLIGHT_NUM>.,negative
The crew was dismissive and unhelpful during the flight.,negative
The quality is far below expectations.,negative
Do not recommend to anyone.,negative
Worst experience ever!,negative
"The airline lost my luggage, and I still haven’t heard back.",negative
The worst purchase I’ve ever made.,negative
The food options were terrible on flight <MASKED_FLIGHT_NUM>.,negative
It took forever to find updates for my PNR <MASKED_PNR>.,negative
This didn’t work as promised.,negative
Don’t bother with this.,negative
The food options were terrible on flight <MASKED_FLIGHT_NUM>.,negative
This is a nightmare to use.,negative
I’m extremely disappointed with how my complaint was handled.,negative
It’s unacceptable how long it took to get updates on my gate.,negative
A complete disaster!,negative
I can’t believe how poor the in-flight service was.,negative
It’s unacceptable how long it took to get updates on my gate.,negative
I’m extremely disappointed with how my complaint was handled.,negative
This was an awful experience.,negative
The quality is far below expectations.,negative
I wish I could give this zero stars.,negative
The crew was dismissive and unhelpful during the flight.,negative
I wish I could give this zero stars.,negative
I’m upset about the lack of clear communication about cancellations.,negative
The flight was cancelled without prior notice.,negative
I missed my connecting flight because of the delay.,negative
Worst experience ever!,negative
Rebooking for flight <MASKED_FLIGHT_NUM> was a nightmare.,negative
The boarding process was chaotic and poorly managed.,negative
Completely unreliable.,negative
Don’t bother with this.,negative
I wouldn’t recommend this to anyone.,negative
This broke after a week of use.,negative
I waited too long to get information about my flight.,negative
It took forever to find updates for my PNR <MASKED_PNR>.,negative
The worst purchase I’ve ever made.,negative
Completely unreliable.,negative
Do not recommend to anyone.,negative
This is a terrible product.,negative
Worst experience ever!,negative
Worst experience ever!,negative
The crew was dismissive and unhelpful during the flight.,negative
This is a terrible product.,negative
I missed my connecting flight because of the delay.,negative
"My luggage didn’t arrive, and I’m frustrated.",negative
The boarding process was chaotic and poorly managed.,negative
