prompt,status,response
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,CANCELLED,We're sorry to announce that flight <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer service for details.
Is plane <MASKED_FLIGHT_NUM> still leaving as scheduled?,CANCELLED,"Apologies, but airline <MASKED_FLIGHT_NUM> will not be departing. Please reach out to customer service for alternatives."
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DELAYED,"Your flight, aircraft <MASKED_FLIGHT_NUM>, is delayed. Expected time of departure: <MASKED_FLIGHT_TIME>."
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,ON_TIME,"Trust us, airplane <MASKED_FLIGHT_NUM> is leaving on time for <MASKED_FLIGHT_TIME>."
Is the airplane <MASKED_FLIGHT_NUM> departing on time today?,DEPARTED,The flight jet <MASKED_FLIGHT_NUM> is on its way.
Is the airplane <MASKED_FLIGHT_NUM> departing on time today?,BOARDING,Flight carrier <MASKED_FLIGHT_NUM> is now boarding passengers at gate entryway.
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,BOARDING,plane <MASKED_FLIGHT_NUM> is actively boarding.
Do you know if aircraft <MASKED_FLIGHT_NUM> is leaving on schedule?,BOARDING,plane <MASKED_FLIGHT_NUM> is actively boarding at gate terminal gate.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on schedule?,BOARDING,The boarding gates for plane <MASKED_FLIGHT_NUM> are now open.
Is plane <MASKED_FLIGHT_NUM> still leaving as scheduled?,DELAYED,We’re sorry to report a delay for plane <MASKED_FLIGHT_NUM>. The departure time has been changed to <MASKED_FLIGHT_TIME>.
Is airplane <MASKED_FLIGHT_NUM> still on time?,DELAYED,The revised departure schedule for service <MASKED_FLIGHT_NUM> is <MASKED_FLIGHT_TIME> due to a delay.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on schedule?,DELAYED,"Due to weather conditions, plane <MASKED_FLIGHT_NUM> has been delayed. The new departure time is <MASKED_FLIGHT_TIME>."
Can you check the schedule for flight <MASKED_FLIGHT_NUM>?,DEPARTED,airplane <MASKED_FLIGHT_NUM> has already taken off from the gate and is en route.
Can I get a confirmation that service <MASKED_FLIGHT_NUM> is on time?,DEPARTED,plane <MASKED_FLIGHT_NUM> is already airborne and in transit.
Can you confirm if flight <MASKED_FLIGHT_NUM> is running as scheduled?,CANCELLED,We're sorry to announce that airline <MASKED_FLIGHT_NUM> is cancelled. Please contact us to rebook or inquire about your options.
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,DEPARTED,service <MASKED_FLIGHT_NUM> has already taken off from the gate and is en route.
Can you confirm that service <MASKED_FLIGHT_NUM> is departing on schedule?,DELAYED,plane <MASKED_FLIGHT_NUM> has a delay. It’s now expected to leave at <MASKED_FLIGHT_TIME>.
Is aircraft <MASKED_FLIGHT_NUM> still leaving on time today?,ON_TIME,On time! carrier <MASKED_FLIGHT_NUM> is scheduled to depart at <MASKED_FLIGHT_TIME>.
Do you have updates about flight <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,jet <MASKED_FLIGHT_NUM> is on time and set to depart at <MASKED_FLIGHT_TIME>.
Please confirm the status of airplane <MASKED_FLIGHT_NUM>. Is it on time?,ON_TIME,Your flight carrier <MASKED_FLIGHT_NUM> is leaving at <MASKED_FLIGHT_TIME> without any delays.
Can you confirm the departure status of flight <MASKED_FLIGHT_NUM>?,ON_TIME,No delays for jet <MASKED_FLIGHT_NUM>. It will depart at <MASKED_FLIGHT_TIME> as planned.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,CANCELLED,"Apologies, but flight <MASKED_FLIGHT_NUM> has been cancelled. Please get in touch with customer support to reschedule your trip."
Is flight <MASKED_FLIGHT_NUM> currently running on time?,BOARDING,Gate boarding station is open and boarding is in progress for flight <MASKED_FLIGHT_NUM>.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,ON_TIME,"The flight aircraft <MASKED_FLIGHT_NUM> is departing at <MASKED_FLIGHT_TIME>, as scheduled."
Can you confirm if plane <MASKED_FLIGHT_NUM> is departing as scheduled?,DELAYED,There has been a delay for aircraft <MASKED_FLIGHT_NUM>. The new time is <MASKED_FLIGHT_TIME>.
Can you check if airplane <MASKED_FLIGHT_NUM> is leaving as planned?,BOARDING,The boarding gate for airplane <MASKED_FLIGHT_NUM> is open and boarding is in progress.
Is flight <MASKED_FLIGHT_NUM> still expected to depart as planned?,ON_TIME,We’re happy to inform you that airplane <MASKED_FLIGHT_NUM> is on schedule and will depart at <MASKED_FLIGHT_TIME>.
Is the plane <MASKED_FLIGHT_NUM> on time or facing delays?,DELAYED,Please accept our apologies. service <MASKED_FLIGHT_NUM> is delayed to <MASKED_FLIGHT_TIME>.
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,BOARDING,Flight flight <MASKED_FLIGHT_NUM> is in the boarding process at gate entry gate.
What’s the departure status of flight <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,We regret to inform you that airplane <MASKED_FLIGHT_NUM> is cancelled. Please contact customer service for further assistance.
Do you know the current departure time for service <MASKED_FLIGHT_NUM>?,ON_TIME,Solid confirmation: flight <MASKED_FLIGHT_NUM> leaves on time for <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> still expected to depart as planned?,CANCELLED,"Unfortunately, flight <MASKED_FLIGHT_NUM> is cancelled. Please contact support for help in rebooking your flight."
Is plane <MASKED_FLIGHT_NUM> still leaving as scheduled?,ON_TIME,Everything’s running smoothly for airline <MASKED_FLIGHT_NUM>. It’s on time for departure at <MASKED_FLIGHT_TIME>.
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,ON_TIME,Your flight jet <MASKED_FLIGHT_NUM> is on schedule and will depart at <MASKED_FLIGHT_TIME>.
Is the plane <MASKED_FLIGHT_NUM> leaving as planned?,CANCELLED,"We're sorry, but airplane <MASKED_FLIGHT_NUM> is no longer operating. Please contact customer service for alternate arrangements."
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,ON_TIME,Good news! plane <MASKED_FLIGHT_NUM> is on time for departure at <MASKED_FLIGHT_TIME>.
Can you check the schedule for flight <MASKED_FLIGHT_NUM>?,BOARDING,The flight service <MASKED_FLIGHT_NUM> is ready for boarding at gate passenger gate.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,ON_TIME,Your flight aircraft <MASKED_FLIGHT_NUM> is leaving as planned at <MASKED_FLIGHT_TIME>.
Can you tell me if flight <MASKED_FLIGHT_NUM> is still leaving on time?,DEPARTED,The flight jet <MASKED_FLIGHT_NUM> has left the ground.
Is aircraft <MASKED_FLIGHT_NUM> still leaving on time today?,CANCELLED,We regret to inform you that airplane <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer service for assistance.
Can you tell me about the status of service <MASKED_FLIGHT_NUM>?,ON_TIME,We’re happy to inform you that service <MASKED_FLIGHT_NUM> is on schedule and will depart at <MASKED_FLIGHT_TIME>.
What’s the latest update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,"Your flight, airplane <MASKED_FLIGHT_NUM>, is scheduled to leave at <MASKED_FLIGHT_TIME> and is on time."
Is plane <MASKED_FLIGHT_NUM> still leaving as scheduled?,ON_TIME,The flight flight <MASKED_FLIGHT_NUM> is confirmed for departure at <MASKED_FLIGHT_TIME> without any delays.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it running on time?",BOARDING,Gate entryway is open and boarding is in progress for aircraft <MASKED_FLIGHT_NUM>.
What’s the departure schedule for flight <MASKED_FLIGHT_NUM>?,CANCELLED,"We're sorry, but airline <MASKED_FLIGHT_NUM> is no longer operating. Please contact us for more information on your travel options."
Do you know the current departure time for flight <MASKED_FLIGHT_NUM>?,CANCELLED,"We're sorry, but carrier <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to our support team for rebooking assistance."
Is airplane <MASKED_FLIGHT_NUM> still on time?,ON_TIME,We’re pleased to let you know that flight <MASKED_FLIGHT_NUM> is on time and leaving at <MASKED_FLIGHT_TIME>.
Is aircraft <MASKED_FLIGHT_NUM> still leaving on time today?,BOARDING,Gate passenger gate for airplane <MASKED_FLIGHT_NUM> is open for boarding.
Can you tell me if plane <MASKED_FLIGHT_NUM> is on time?,BOARDING,Boarding has begun for airplane <MASKED_FLIGHT_NUM> at gate check-in gate.
Is the plane <MASKED_FLIGHT_NUM> leaving as planned?,BOARDING,Boarding has begun for jet <MASKED_FLIGHT_NUM> at gate flight entry gate.
Is plane <MASKED_FLIGHT_NUM> still leaving as scheduled?,CANCELLED,"We're sorry, but carrier <MASKED_FLIGHT_NUM> will no longer operate. Please get in touch with customer service for other options."
Is the flight number <MASKED_FLIGHT_NUM> still expected to depart on time?,CANCELLED,"Apologies, but flight <MASKED_FLIGHT_NUM> is no longer operating. Please reach out to support to explore alternative flights."
Can you tell me about the status of service <MASKED_FLIGHT_NUM>?,CANCELLED,"We apologize for the inconvenience, but airline <MASKED_FLIGHT_NUM> has been cancelled. Our team will help you find a new flight."
Do you have updates about flight <MASKED_FLIGHT_NUM>? Is it on time?,BOARDING,Gate departure point has been opened for plane <MASKED_FLIGHT_NUM> boarding.
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,Flight flight <MASKED_FLIGHT_NUM> has taken off and is heading to the destination.
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,BOARDING,Boarding for carrier <MASKED_FLIGHT_NUM> is now open at gate flight gate.
Do you have updates about flight <MASKED_FLIGHT_NUM>? Is it on time?,BOARDING,Now boarding passengers for flight <MASKED_FLIGHT_NUM> at gate gate.
What’s the latest on flight <MASKED_FLIGHT_NUM>? Is it on time?,BOARDING,The flight jet <MASKED_FLIGHT_NUM> is now boarding passengers at gate airside gate.
Is the airplane <MASKED_FLIGHT_NUM> departing on time today?,BOARDING,The boarding process for aircraft <MASKED_FLIGHT_NUM> is currently in progress at gate gate.
Can you provide the current status of flight <MASKED_FLIGHT_NUM>?,BOARDING,Flight flight <MASKED_FLIGHT_NUM> is now boarding at gate terminal gate.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it on time?",BOARDING,airline <MASKED_FLIGHT_NUM> is now open for passengers to board at the gate.
Is the airplane <MASKED_FLIGHT_NUM> confirmed to depart as planned?,CANCELLED,"Sadly, carrier <MASKED_FLIGHT_NUM> has been cancelled. Our team is available for rebooking and assistance."
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,DELAYED,The latest update for airplane <MASKED_FLIGHT_NUM> shows a delay. New time: <MASKED_FLIGHT_TIME>.
Is aircraft <MASKED_FLIGHT_NUM> still departing as planned?,BOARDING,The flight jet <MASKED_FLIGHT_NUM> has begun the boarding process.
Please confirm the status of airplane <MASKED_FLIGHT_NUM>. Is it on time?,DELAYED,airplane <MASKED_FLIGHT_NUM> is experiencing a delay. Adjusted time: <MASKED_FLIGHT_TIME>.
What’s the current departure schedule for flight <MASKED_FLIGHT_NUM>?,DEPARTED,flight <MASKED_FLIGHT_NUM> has already left the airport and is en route.
Can you provide the latest status of flight <MASKED_FLIGHT_NUM>?,CANCELLED,"We apologize, but airplane <MASKED_FLIGHT_NUM> will not be operating. Please reach out to customer support for assistance."
Do you know if the plane <MASKED_FLIGHT_NUM> is leaving on time?,CANCELLED,"Unfortunately, service <MASKED_FLIGHT_NUM> has been cancelled. For help with rebooking, please reach out to customer support."
Do you know if plane <MASKED_FLIGHT_NUM> is running on time today?,CANCELLED,"Unfortunately, jet <MASKED_FLIGHT_NUM> will not operate. Please contact customer support for your next steps."
Is the plane <MASKED_FLIGHT_NUM> leaving as planned?,ON_TIME,Timely and ready! service <MASKED_FLIGHT_NUM> departs at <MASKED_FLIGHT_TIME>.
Do you know if plane <MASKED_FLIGHT_NUM> is running on time today?,BOARDING,Please proceed to gate gate position for the boarding of airplane <MASKED_FLIGHT_NUM>.
Do you have updates on flight <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,aircraft <MASKED_FLIGHT_NUM> is delayed. Please expect the flight to leave at <MASKED_FLIGHT_TIME>.
Can you check if airplane <MASKED_FLIGHT_NUM> is leaving as planned?,ON_TIME,Travel plans are intact; aircraft <MASKED_FLIGHT_NUM> leaves at <MASKED_FLIGHT_TIME>.
Can you confirm if plane <MASKED_FLIGHT_NUM> is departing as scheduled?,BOARDING,Boarding for plane <MASKED_FLIGHT_NUM> is now open at gate gate location.
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,DEPARTED,aircraft <MASKED_FLIGHT_NUM> has already departed for its journey.
Can you tell me about the status of service <MASKED_FLIGHT_NUM>?,BOARDING,The flight flight <MASKED_FLIGHT_NUM> is now in the boarding phase at gate check-in gate.
What’s the update on flight <MASKED_FLIGHT_NUM>? Is it on schedule?,DEPARTED,Flight airline <MASKED_FLIGHT_NUM> is no longer at the gate.
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,BOARDING,Boarding for flight <MASKED_FLIGHT_NUM> is available now at gate gate.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,ON_TIME,"Good news! airline <MASKED_FLIGHT_NUM> will take off as planned, at <MASKED_FLIGHT_TIME>."
Can you check if airplane <MASKED_FLIGHT_NUM> is leaving as planned?,CANCELLED,"Unfortunately, airline <MASKED_FLIGHT_NUM> will not operate. Please contact customer support for your next steps."
Please confirm the status of airplane <MASKED_FLIGHT_NUM>. Is it on time?,ON_TIME,There are no delays. carrier <MASKED_FLIGHT_NUM> is on time for departure at <MASKED_FLIGHT_TIME>.
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,The flight jet <MASKED_FLIGHT_NUM> is delayed. It will depart at <MASKED_FLIGHT_TIME>.
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,ON_TIME,Solid confirmation: flight <MASKED_FLIGHT_NUM> leaves on time for <MASKED_FLIGHT_TIME>.
Is the airplane <MASKED_FLIGHT_NUM> departing on time today?,DELAYED,The latest update: carrier <MASKED_FLIGHT_NUM> is delayed. New departure time is <MASKED_FLIGHT_TIME>.
What’s the latest departure update for plane <MASKED_FLIGHT_NUM>?,DEPARTED,Flight service <MASKED_FLIGHT_NUM> has already left the airport and is now on its way.
Can you tell me if plane <MASKED_FLIGHT_NUM> is on time?,CANCELLED,"Regrettably, airplane <MASKED_FLIGHT_NUM> will not operate. Please contact customer support to make alternative travel arrangements."
Do you know if flight <MASKED_FLIGHT_NUM> is running on time?,DELAYED,"We apologize, but jet <MASKED_FLIGHT_NUM> has been delayed. It will depart at <MASKED_FLIGHT_TIME>."
What’s the departure status of flight <MASKED_FLIGHT_NUM>? Is it on time?,BOARDING,Boarding is actively underway for airline <MASKED_FLIGHT_NUM> at gate boarding area.
Can you check if airplane <MASKED_FLIGHT_NUM> is running on schedule?,ON_TIME,jet <MASKED_FLIGHT_NUM> is ready to go and on time for <MASKED_FLIGHT_TIME>.
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,flight <MASKED_FLIGHT_NUM> is already airborne.
Can you confirm if flight <MASKED_FLIGHT_NUM> is running as scheduled?,CANCELLED,"Regrettably, aircraft <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for help with your travel plans."
Can you check if airplane <MASKED_FLIGHT_NUM> is leaving as planned?,BOARDING,The flight carrier <MASKED_FLIGHT_NUM> has opened its boarding gates.
Is airplane <MASKED_FLIGHT_NUM> still on time?,DELAYED,There has been a delay for carrier <MASKED_FLIGHT_NUM>. The new time is <MASKED_FLIGHT_TIME>.
Can you tell me if service <MASKED_FLIGHT_NUM> is running on time?,CANCELLED,"We’re sorry, but flight <MASKED_FLIGHT_NUM> has been cancelled. For more information, please contact customer support."
What’s the departure status of flight <MASKED_FLIGHT_NUM>? Is it on time?,BOARDING,Boarding has begun for flight <MASKED_FLIGHT_NUM> at gate gate.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it running on time?",DELAYED,We apologize for the inconvenience. service <MASKED_FLIGHT_NUM> will now leave at <MASKED_FLIGHT_TIME>.
Is the plane <MASKED_FLIGHT_NUM> on time or facing delays?,BOARDING,Gate check-in gate has been opened for carrier <MASKED_FLIGHT_NUM> boarding.
What’s the departure update for airplane <MASKED_FLIGHT_NUM>?,DEPARTED,The flight carrier <MASKED_FLIGHT_NUM> has already departed and is heading to its destination.
"Is the airplane <MASKED_FLIGHT_NUM> on time, or has there been a delay?",DEPARTED,flight <MASKED_FLIGHT_NUM> has already taken off and is en route.
Is service <MASKED_FLIGHT_NUM> expected to leave on time today?,DEPARTED,Flight airline <MASKED_FLIGHT_NUM> is no longer at the gate.
Is airplane <MASKED_FLIGHT_NUM> still on time?,BOARDING,The boarding process for airline <MASKED_FLIGHT_NUM> is now in full swing.
Can you confirm the departure time for flight <MASKED_FLIGHT_NUM>?,DEPARTED,service <MASKED_FLIGHT_NUM> has already taken off and is en route.
Could you tell me if airplane <MASKED_FLIGHT_NUM> is on schedule?,BOARDING,flight <MASKED_FLIGHT_NUM> is actively boarding at gate gate location.
"Has airplane <MASKED_FLIGHT_NUM> been delayed, or is it on time?",ON_TIME,All systems go for aircraft <MASKED_FLIGHT_NUM>. It will depart at <MASKED_FLIGHT_TIME> as scheduled.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,CANCELLED,"Sadly, carrier <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to our support team to explore your options."
Do you have any updates on airplane <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,The flight aircraft <MASKED_FLIGHT_NUM> is now delayed. Updated schedule: <MASKED_FLIGHT_TIME>.
What’s the expected departure schedule for plane <MASKED_FLIGHT_NUM>?,DEPARTED,The flight carrier <MASKED_FLIGHT_NUM> is already en route to its destination.
Do you have updates on flight <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,"Apologies, but aircraft <MASKED_FLIGHT_NUM> has been delayed. New departure time: <MASKED_FLIGHT_TIME>."
What’s the expected departure time for service <MASKED_FLIGHT_NUM>?,BOARDING,Flight carrier <MASKED_FLIGHT_NUM> is now accepting passengers for boarding at gate terminal gate.
Do you have updates about flight <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,plane <MASKED_FLIGHT_NUM> has already departed for its journey.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,ON_TIME,The status is unchanged for carrier <MASKED_FLIGHT_NUM>. Departure is on time at <MASKED_FLIGHT_TIME>.
Has there been a schedule change for airplane <MASKED_FLIGHT_NUM>?,DELAYED,"Due to unforeseen circumstances, plane <MASKED_FLIGHT_NUM> will now depart at <MASKED_FLIGHT_TIME>."
Has there been a schedule change for airplane <MASKED_FLIGHT_NUM>?,CANCELLED,We regret that aircraft <MASKED_FLIGHT_NUM> has been cancelled. Contact our customer service team for information on rebooking.
Do you know if flight <MASKED_FLIGHT_NUM> is scheduled to leave soon?,CANCELLED,"Due to unforeseen circumstances, airplane <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for rebooking."
What’s the departure schedule for flight <MASKED_FLIGHT_NUM>?,DELAYED,flight <MASKED_FLIGHT_NUM> is delayed. Updated departure time: <MASKED_FLIGHT_TIME>.
"Is the airplane <MASKED_FLIGHT_NUM> on time, or has there been a delay?",ON_TIME,Your flight flight <MASKED_FLIGHT_NUM> is on schedule and will depart at <MASKED_FLIGHT_TIME>.
Is service <MASKED_FLIGHT_NUM> expected to leave on time?,CANCELLED,"Apologies, but aircraft <MASKED_FLIGHT_NUM> will not be operating. Please contact customer service for alternate flight options."
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,We’re sorry to inform you that service <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to customer service for assistance.
Do you know if plane <MASKED_FLIGHT_NUM> is running on time today?,CANCELLED,We regret to inform you that airplane <MASKED_FLIGHT_NUM> is cancelled. Please reach out to customer service for rescheduling.
Can you confirm that service <MASKED_FLIGHT_NUM> is departing on schedule?,DELAYED,There’s a delay with plane <MASKED_FLIGHT_NUM>. The new departure time is <MASKED_FLIGHT_TIME>.
Can you confirm the departure time for flight <MASKED_FLIGHT_NUM>?,BOARDING,The boarding process for aircraft <MASKED_FLIGHT_NUM> is now active at gate gate position.
Is airplane <MASKED_FLIGHT_NUM> still on time?,ON_TIME,Everything is in order for service <MASKED_FLIGHT_NUM>. It departs at <MASKED_FLIGHT_TIME>.
Do you know if plane <MASKED_FLIGHT_NUM> is running on time today?,ON_TIME,Perfect! jet <MASKED_FLIGHT_NUM> is on time and ready to depart at <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on schedule?,CANCELLED,"Unfortunately, airline <MASKED_FLIGHT_NUM> is cancelled. Please contact support for help in rebooking your flight."
